freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,G4677,W073,DE	0 	41 	0 	0 	0 	0 	0 	1 	0 
A,T,HAZ_NHAZ,G4677,W073,DK	44 	40 	59 	13891 	14 	135 	10 	38 	2 
A,T,HAZ_NHAZ,G4677,W073,EE	35 	346 	315 	3946 	172 	74 	56 	162 	157 
A,T,HAZ_NHAZ,G4677,W073,EL	0 	0 	0 	0 	0 	0 	0 	109 	63 
A,T,HAZ_NHAZ,G4677,W073,ES	17 	7778 	8628 	5265 	2886 	18814 	7236 	6327 	3855 
A,T,HAZ_NHAZ,G4677,W073,FI	323 	914 	2020 	436 	894 	251 	129 	138 	273 
A,T,HAZ_NHAZ,G4677,W073,FR	0 	0 	0 	0 	0 	475 	290 	4590 	2960 
A,T,HAZ_NHAZ,G4677,W073,HR	0 	0 	0 	717 	3 	2 	2 	2 	0 
A,T,HAZ_NHAZ,G4677,W073,HU	321 	1239 	510 	34 	37 	519 	54 	303 	9 
A,T,HAZ_NHAZ,G4677,W073,IE	0 	0 	: 	2829 	9 	206 	194 	656 	1071 
A,T,HAZ_NHAZ,G4677,W073,IS	0 	: 	: 	0 	0 	253 	315 	491 	277 
A,T,HAZ_NHAZ,G4677,W073,IT	1 	883 	7321 	10306 	1719 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W073,LI	: 	: 	0 	0 	14 	0 	0 	0 	: 
A,T,HAZ_NHAZ,G4677,W073,LT	0 	513 	75 	11771 	233 	317 	145 	283 	254 
A,T,HAZ_NHAZ,G4677,W073,LU	2 	12 	0 	0 	0 	0 	1 	2 	59 
A,T,HAZ_NHAZ,G4677,W073,LV	0 	14 	16 	297 	3 	13 	3 	51 	88 
A,T,HAZ_NHAZ,G4677,W073,ME	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W073,MK	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W073,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W073,NL	14 	552 	451 	97 	108 	116 	108 	89 	86 
A,T,HAZ_NHAZ,G4677,W073,NO	0 	0 	0 	0 	0 	10 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W073,PL	628 	1067 	2046 	2157 	3705 	9875 	4274 	4989 	4243 
A,T,HAZ_NHAZ,G4677,W073,PT	0 	168 	3664 	2002 	2116 	1781 	6955 	7681 b	5895 
A,T,HAZ_NHAZ,G4677,W073,RO	3 	15 	4167 	812 	155 	136 	185 	83 	30 
A,T,HAZ_NHAZ,G4677,W073,RS	: 	: 	: 	0 	0 	6 	0 	0 	3 
A,T,HAZ_NHAZ,G4677,W073,SE	4455 	5395 	4730 	3880 	973 	692 	274 	269 	12 
A,T,HAZ_NHAZ,G4677,W073,SI	0 	2 	3 	0 	1 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W073,SK	0 	96 	191 	202 	161 	1680 	2504 	538 	861 
A,T,HAZ_NHAZ,G4677,W073,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W073,UK	0 	12143 	28945 	48167 	77261 	39977 	56604 	95024 	: 
A,T,HAZ_NHAZ,G4677,W073,XK	: 	: 	: 	: 	0 	3 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W074,AT	231 	72 	132 	9996 	7310 	7497 	: c	807 	1468 
A,T,HAZ_NHAZ,G4677,W074,BA	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W074,BE	1523 	15980 	3356 	38484 	25507 	31650 	27805 	36320 	41039 
A,T,HAZ_NHAZ,G4677,W074,BG	21867 	5717 	719 	4180 	5250 	16789 	9575 	5772 	5391 
A,T,HAZ_NHAZ,G4677,W074,CY	0 	0 	0 	0 	0 	0 	0 	2 	0 
A,T,HAZ_NHAZ,G4677,W074,CZ	274 	3284 	1377 	5138 	6805 	6152 	4893 	5781 b	5152 
A,T,HAZ_NHAZ,G4677,W074,DE	292 	528 	2527 	552 	76003 	18889 	16686 	31147 	38234 
A,T,HAZ_NHAZ,G4677,W074,DK	147 	180 	159 	16192 	1 	0 	34 	12 	0 
A,T,HAZ_NHAZ,G4677,W074,EE	65 	1806 	1438 	8522 	91 	386 	340 	90 	203 
A,T,HAZ_NHAZ,G4677,W074,EL	0 	0 	0 	0 	0 	0 	0 	3244 	6270 
A,T,HAZ_NHAZ,G4677,W074,ES	2 	1144 	1251 	2118 	781 	8438 	3357 	4498 	5702 
A,T,HAZ_NHAZ,G4677,W074,FI	206 	5216 	4986 	7942 	2985 	157 	459 	1937 	493 
A,T,HAZ_NHAZ,G4677,W074,FR	0 	0 	0 	0 	500 	401 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W074,HR	7316 	1099 	0 	3419 	0 	1 	11 	7 	509 
A,T,HAZ_NHAZ,G4677,W074,HU	2689 	3219 	1981 	863 	1232 	5660 	1045 	3308 	172 
A,T,HAZ_NHAZ,G4677,W074,IE	0 	0 	: 	187871 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W074,IS	0 	: 	: 	0 	0 	1776 	2552 	3509 	2552 
A,T,HAZ_NHAZ,G4677,W074,IT	175 	11267 	30484 	40875 	68105 	95420 	104225 	124401 	91649 
A,T,HAZ_NHAZ,G4677,W074,LI	: 	: 	0 	0 	23 	0 	0 	0 	: 
A,T,HAZ_NHAZ,G4677,W074,LT	3114 	752 	1189 	7597 	734 	7095 	2369 	395 	603 
A,T,HAZ_NHAZ,G4677,W074,LU	0 	0 	0 	0 	104 	0 	18 	27 	0 
A,T,HAZ_NHAZ,G4677,W074,LV	0 	0 	1 	332 	234 	6078 	335 	15 	3107 
A,T,HAZ_NHAZ,G4677,W074,ME	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W074,MK	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W074,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W074,NL	233 	1820 	2060 	3284 	2037 	1775 	2294 	1974 	2834 
A,T,HAZ_NHAZ,G4677,W074,NO	0 	0 	0 	0 	34271 	235 	349 	0 	0 
A,T,HAZ_NHAZ,G4677,W074,PL	3904 	4213 	9060 	9028 	15696 	20224 	40554 	72503 	51153 
A,T,HAZ_NHAZ,G4677,W074,PT	31 	1460 	11116 	12157 	19130 	22312 	13738 	15927 b	12526 
A,T,HAZ_NHAZ,G4677,W074,RO	2 	72 	2473 	751 	88 	103 	320 	224 	11 
A,T,HAZ_NHAZ,G4677,W074,RS	: 	: 	: 	0 	0 	0 	0 	0 	40 
A,T,HAZ_NHAZ,G4677,W074,SE	5036 	277 	5601 	7828 	8649 	26243 	8015 	25497 	9488 
A,T,HAZ_NHAZ,G4677,W074,SI	0 	1 	1 	0 	10 	0 	10007 	16 	: c
A,T,HAZ_NHAZ,G4677,W074,SK	60 	270 	65 	556 	254 	2897 	4800 	3347 	2089 
A,T,HAZ_NHAZ,G4677,W074,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W074,UK	1850 	17899 	18350 	25709 	51900 	83673 	86886 	121599 	: 
A,T,HAZ_NHAZ,G4677,W074,XK	: 	: 	: 	: 	0 	1 	574 	0 	0 
A,T,HAZ_NHAZ,G4677,W075,AT	3459 	9869 	9678 	7316 	3093 	3092 	: c	5243 	9763 
A,T,HAZ_NHAZ,G4677,W075,BA	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W075,BE	1181 	62156 	13053 	15208 	5518 	10526 	5699 	6053 	3962 
A,T,HAZ_NHAZ,G4677,W075,BG	0 	0 	190 	0 	2043 	4694 	6 	0 	25 
A,T,HAZ_NHAZ,G4677,W075,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W075,CZ	194 	592 	591 	169 	178 	1646 	8045 	718 b	7834 
A,T,HAZ_NHAZ,G4677,W075,DE	6790 	8635 	14491 	41979 	133657 	121560 	166282 	215486 	213062 
A,T,HAZ_NHAZ,G4677,W075,DK	9632 	11268 	10477 	83960 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W075,EE	1 	30 	1169 	64931 	4 	508 	32 	914 	1089 
A,T,HAZ_NHAZ,G4677,W075,EL	0 	0 	0 	0 	0 	0 	0 	15 	121 
A,T,HAZ_NHAZ,G4677,W075,ES	0 	3504 	3746 	5380 	1137 	9955 	2161 	8624 	3549 
A,T,HAZ_NHAZ,G4677,W075,FI	200 	2037 	65712 	19224 	3605 	562 	26931 	1424 	450 
A,T,HAZ_NHAZ,G4677,W075,FR	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W075,HR	222 	325 	0 	550 	0 	0 	2 	0 	21 
A,T,HAZ_NHAZ,G4677,W075,HU	1 	0 	215 	978 	99 	598 	318 	452 	599 
A,T,HAZ_NHAZ,G4677,W075,IE	0 	0 	: 	102560 	0 	0 	0 	0 	2 
A,T,HAZ_NHAZ,G4677,W075,IS	0 	: 	: 	0 	0 	1420 	2013 	2175 	3909 
A,T,HAZ_NHAZ,G4677,W075,IT	1406 	25859 	59841 	83368 	70482 	87499 	88250 	134478 	103351 
A,T,HAZ_NHAZ,G4677,W075,LI	: 	: 	0 	68 	20 	0 	0 	0 	: 
A,T,HAZ_NHAZ,G4677,W075,LT	36 	0 	14 	38732 	499 	72 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W075,LU	5 	5 	4 	0 	0 	221 	183 	189 	120 
A,T,HAZ_NHAZ,G4677,W075,LV	0 	384 	0 	9977 	2 	493 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W075,ME	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W075,MK	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W075,MT	0 	0 	0 	0 	49 	3 	2 	1 	0 
A,T,HAZ_NHAZ,G4677,W075,NL	443 	554 	364 	2164 	2471 	3444 	1995 	2432 	4424 
A,T,HAZ_NHAZ,G4677,W075,NO	0 	76 	1634 	1029 	10597 	312 	517 	4 	26756 
A,T,HAZ_NHAZ,G4677,W075,PL	33 	189 	1560 	1948 	1417 	595 	1823 	1840 	6294 
A,T,HAZ_NHAZ,G4677,W075,PT	0 	1433 	11104 	9219 	6667 	7509 	16621 	50860 b	51653 
A,T,HAZ_NHAZ,G4677,W075,RO	0 	0 	903 	0 	8 	10 	64 	377 	46 
A,T,HAZ_NHAZ,G4677,W075,RS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W075,SE	586 	1857 	9372 	19765 	7848 	56109 	50930 	35607 	23024 
A,T,HAZ_NHAZ,G4677,W075,SI	0 	0 	0 	0 	0 	0 	0 	4 	: c
A,T,HAZ_NHAZ,G4677,W075,SK	0 	258 	480 	247 	439 	17 	2278 	981 	393 
A,T,HAZ_NHAZ,G4677,W075,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W075,UK	24392 	11228 	7473 	67808 	53678 	52374 	23961 	17341 	: 
A,T,HAZ_NHAZ,G4677,W075,XK	: 	: 	: 	: 	0 	2 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,AT	11 	0 	11 	0 	698 	78 	: c	1 	101 
A,T,HAZ_NHAZ,G4677,W076,BA	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W076,BE	0 	11069 	2325 	34 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,BG	0 	0 	0 	0 	0 	0 	258 	248 	201 
A,T,HAZ_NHAZ,G4677,W076,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,CZ	35 	57 	11 	0 	17 	257 	89 	414 b	245 
A,T,HAZ_NHAZ,G4677,W076,DE	7 	5 	0 	25100 	39356 	51111 	5116 	58 	31 
A,T,HAZ_NHAZ,G4677,W076,DK	0 	0 	0 	461 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,EE	10 	2 	0 	327 	0 	0 	0 	29 	43 
A,T,HAZ_NHAZ,G4677,W076,EL	0 	0 	0 	0 	0 	0 	0 	146 	226 
A,T,HAZ_NHAZ,G4677,W076,ES	0 	29 	32 	1803 	37 	408 	396 	600 	49 
A,T,HAZ_NHAZ,G4677,W076,FI	0 	0 	0 	280 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,FR	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,HR	5 	0 	0 	9 	0 	0 	0 	0 	86 
A,T,HAZ_NHAZ,G4677,W076,HU	0 	13 	11 	3 	3 	320 	3 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,IE	0 	0 	: 	1137 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,IS	0 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,IT	57 	1550 	2122 	1900 	2006 	6380 	7944 	10331 	3824 
A,T,HAZ_NHAZ,G4677,W076,LI	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,G4677,W076,LT	39 	0 	0 	1400 	78 	0 	193 	39 	30 
A,T,HAZ_NHAZ,G4677,W076,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,LV	0 	0 	0 	39 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,ME	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,MK	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,NL	73 	19 	22 	35 	30 	0 	68 	31 	206 
A,T,HAZ_NHAZ,G4677,W076,NO	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,PL	58 	23 	8 	1 	90 	19 	13 	1062 	621 
A,T,HAZ_NHAZ,G4677,W076,PT	9192 	3548 	3955 	3683 	6763 	7551 	9865 	14572 b	13033 
A,T,HAZ_NHAZ,G4677,W076,RO	0 	0 	123 	1 	3 	2 	6 	952 	251 
A,T,HAZ_NHAZ,G4677,W076,RS	: 	: 	: 	0 	0 	0 	0 	212 	3 
A,T,HAZ_NHAZ,G4677,W076,SE	82 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,SI	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,SK	0 	0 	0 	11 	17 	60 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W076,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W076,UK	0 	101 	2679 	247 	3628 	2827 	392 	4623 	: 
A,T,HAZ_NHAZ,G4677,W076,XK	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,AT	3 	1 	0 	1 	17 	0 	0 	0 	3 
A,T,HAZ_NHAZ,G4677,W077,BA	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077,BE	0 	496 	104 	0 	2 	61 	20 	210 	13 
A,T,HAZ_NHAZ,G4677,W077,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,CZ	0 	0 	0 	2 	0 	0 	0 	0 b	0 
A,T,HAZ_NHAZ,G4677,W077,DE	78 	118 	135 	18 	66 	56 	25 	39 	31 
A,T,HAZ_NHAZ,G4677,W077,DK	0 	0 	0 	290 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,EE	0 	0 	0 	7 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,ES	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,FI	0 	0 	0 	0 	0 	6 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,FR	0 	0 	0 	0 	7 	446 	12 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,HU	0 	0 	3 	6 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,IE	0 	0 	: 	54 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,IS	0 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,IT	0 	0 	88 	40 	12 	13 	41 	19 	1 
A,T,HAZ_NHAZ,G4677,W077,LI	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,G4677,W077,LT	0 	0 	14 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,LV	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,ME	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,MK	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,NL	15 	0 	7 	3 	13 	0 	1 	160 	13 
A,T,HAZ_NHAZ,G4677,W077,NO	2 	8 	7 	1 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,PL	0 	0 	12 	2 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,PT	0 	0 	2 	1 	10 	0 	0 	0 b	2 
A,T,HAZ_NHAZ,G4677,W077,RO	0 	0 	0 	0 	7 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,RS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,SE	0 	14 	5 	56 	3 	3 	3 	1 	3 
A,T,HAZ_NHAZ,G4677,W077,SI	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W077,SK	0 	0 	0 	0 	0 	0 	0 	0 	1 
A,T,HAZ_NHAZ,G4677,W077,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077,UK	0 	127 	50 	9060 	3570 	271 	713 	171 	: 
A,T,HAZ_NHAZ,G4677,W077,XK	: 	: 	: 	: 	0 	0 	0 	: 	0 
A,T,HAZ_NHAZ,G4677,W077_08,AT	1874 	4307 	5479 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,BE	2039 	40616 	8530 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,BG	3297 	978 	430 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,CY	0 	64 	48 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,CZ	358 	3638 	7168 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,DE	80122 	88877 	62822 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,DK	321 	385 	1386 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,EE	2234 	2139 	4130 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,EL	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,ES	623 	90160 	99812 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,FI	1594 	8321 	17764 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,FR	40 	40 	173620 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,HR	0 	134 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,HU	12986 	10094 	5754 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,IE	0 	0 	: 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,IS	39000 	: 	: 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,IT	1483 	33533 	211778 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,LI	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,LT	706 	433 	1016 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,LU	0 	0 	12 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,LV	0 	28 	18408 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,MK	: 	: 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,MT	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,NL	2921 	731 	11344 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,NO	6 	172728 	182232 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,PL	1747 	5680 	36246 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,PT	1114 	502 	27440 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,RO	2 	72 	8156 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,SE	172412 	282645 	139592 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,SI	52 	123 	45 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,SK	0 	134 	716 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W077_08,UK	14 	234009 	341507 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W081,AT	1421 	2595 	3343 	23105 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,BA	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W081,BE	1634 	23161 	4864 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,BG	0 	14 	380 	22 	381 	146 	201 	71 	11797 
A,T,HAZ_NHAZ,G4677,W081,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,CZ	0 	1773 	2970 	4218 	7342 	9942 	10168 	42836 b	0 
A,T,HAZ_NHAZ,G4677,W081,DE	0 	0 	677 	1254 	3028 	2811 	4095 	9327 	696 
A,T,HAZ_NHAZ,G4677,W081,DK	31 	32 	1 	18652 	0 	4220 	893 	89 	0 
A,T,HAZ_NHAZ,G4677,W081,EE	1803 	1444 	3254 	1981 	2470 	962 	1756 	2713 	5751 
A,T,HAZ_NHAZ,G4677,W081,EL	0 	0 	0 	0 	0 	0 	0 	1865 	1556 
A,T,HAZ_NHAZ,G4677,W081,ES	497 	46974 	52168 	61944 	170993 	328264 	12222 	8684 	6492 
A,T,HAZ_NHAZ,G4677,W081,FI	1589 	6712 	15094 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,FR	0 	0 	70 	165 	0 	6735 	8140 	12649 	12206 
A,T,HAZ_NHAZ,G4677,W081,HR	0 	128 	0 	177 	62 	5 	12 	78 	68 
A,T,HAZ_NHAZ,G4677,W081,HU	147 	3240 	275 	1168 	1996 	373 	0 	10 	0 
A,T,HAZ_NHAZ,G4677,W081,IE	0 	0 	: 	5425 	279 	6040 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,IS	39000 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,IT	811 	27999 	170900 	339882 	14569 	81085 	117850 	122178 	114352 
A,T,HAZ_NHAZ,G4677,W081,LI	: 	: 	0 	0 	0 	0 	0 	0 	: 
A,T,HAZ_NHAZ,G4677,W081,LT	0 	106 	546 	9265 	634 	445 	1328 	2196 	1299 
A,T,HAZ_NHAZ,G4677,W081,LU	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,LV	0 	0 	312 	305 	0 	0 	0 	259 	724 
A,T,HAZ_NHAZ,G4677,W081,ME	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,MK	: 	: 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,MT	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,NL	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,NO	0 	98470 	101539 	88965 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,PL	520 	3796 	16259 	16098 	22121 	11379 	0 	0 	77 
A,T,HAZ_NHAZ,G4677,W081,PT	0 	0 	12670 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,RO	0 	0 	2743 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,RS	: 	: 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W081,SE	168946 	260829 	136999 	168922 	0 	3439 	3053 	12261 	13138 
A,T,HAZ_NHAZ,G4677,W081,SI	51 	97 	45 	0 	27 	0 	0 	6 	0 
A,T,HAZ_NHAZ,G4677,W081,SK	0 	10 	23 	75 	1475 	341 	0 	38036 	0 
A,T,HAZ_NHAZ,G4677,W081,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W081,UK	0 	0 	3366 	722119 	671787 	700976 	1028777 	929254 	: 
A,T,HAZ_NHAZ,G4677,W081,XK	: 	: 	: 	: 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,G4677,W0841,AT	276 	44 	233 	1068 	203 	729 	: c	297 	256 
A,T,HAZ_NHAZ,G4677,W0841,BA	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,T,HAZ_NHAZ,G4677,W0841,BE	115 	12013 	2523 	7573 	12098 	10092 	12497 	15131 	8169 
A,T,HAZ_NHAZ,G4677,W0841,BG	0 	20 	39 	498 	309 	569 	472 	417 	473 
A,T,HAZ_NHAZ,G4677,W0841,CY	0 	64 	48 	5 	0 	1 	2 	2 	1 
A,T,HAZ_NHAZ,G4677,W0841,CZ	83 	98 	264 	263 	483 	372 	886 	664 b	635 
A,T,HAZ_NHAZ,G4677,W0841,DE	72043 	76127 	44722 	43068 	29488 	45627 	41518 	44699 	41553 
