freq,unit,hazard,nace_r2,waste,geo\TIME_PERIOD	2004 	2006 	2008 	2010 	2012 	2014 	2016 	2018 	2020 
A,T,HAZ_NHAZ,A,W01-05,RO	5272 	5272 	3274 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,SE	3955 	3955 	3955 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,SI	172 	301 	70 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,SK	17650 	37946 	45364 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,TR	0 	0 	0 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W01-05,UK	418712 	205342 	207985 	: 	: 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W011,AT	0 	2 	3 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,BA	: 	: 	: 	: 	0 	: 	: 	: 	: 
A,T,HAZ_NHAZ,A,W011,BE	0 	3 	0 	0 	0 	5 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,BG	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,CY	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,CZ	44 	41 	36 	35 	27 	25 	25 	7 b	5 
A,T,HAZ_NHAZ,A,W011,DE	61 	93 	8 	75 	79 	60 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,DK	61 	22 	33 	11 	3 	0 	0 	1 	6 
A,T,HAZ_NHAZ,A,W011,EE	24 	27 	39 	0 	2 	0 	1 	0 	0 
A,T,HAZ_NHAZ,A,W011,EL	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,ES	3785 	128 	191 	193 	185 	102 	166 	164 	163 
A,T,HAZ_NHAZ,A,W011,FI	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,FR	0 	0 	50 	377 	218 	117 	122 	172 	176 
A,T,HAZ_NHAZ,A,W011,HR	0 	0 	0 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,HU	1 	1 	0 	2 	2 	2 	1 	1 	1 
A,T,HAZ_NHAZ,A,W011,IE	0 	0 	: 	0 	0 	0 	0 	0 	0 
A,T,HAZ_NHAZ,A,W011,IS	0 	: 	: 	0 	0 	0 	0 	0 	0 
